% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	8	3	2	2	0	81	0	0	0
0.022	1	6	3	3	4	0	81	0	0	0
0.023	1	5	3	4	1	0	81	0	0	0
0.024	1	8	3	5	2	0	81	0	0	0
0.025	1	1	3	6	3	0	81	0	0	0
0.026	1	6	3	7	4	28	2196	0	0	0
0.027	1	4	3	8	9	0	81	0	0	0
0.028	1	7	3	9	10	0	81	0	0	0
0.029	1	2	3	10	11	0	81	0	0	0
0.03	1	10	4	1	12	0	81	0	0	0
0.031	1	5	4	2	1	28	2196	0	0	0
0.032	1	1	4	3	3	28	2196	0	0	0
0.033	1	4	4	4	9	28	2196	0	0	0
0.034	1	7	4	5	10	28	2052	0	0	0
0.034	1	2	4	5	11	28	185	0	0	0
0.035	1	10	4	6	12	28	2196	0	0	0
0.036	1	8	4	7	2	28	2196	0	0	0
0.037	1	2	4	8	11	22	1383	0	0	0
0.038	1	3	4	9	14	0	81	0	0	0
0.039	1	6	4	10	4	28	2196	0	0	0
0.04	1	9	5	1	13	0	81	0	0	0
0.041	1	2	5	2	11	26	1836	0	0	0
0.042	1	5	5	3	1	28	185	0	0	0
0.042	1	7	5	3	10	28	2052	0	0	0
0.043	1	3	5	4	14	28	2196	0	0	0
0.044	1	9	5	5	13	28	2196	0	0	0
0.045	1	1	5	6	3	28	2196	0	0	0
0.046	1	4	5	7	9	28	2196	0	0	0
0.047	1	10	5	8	12	28	2196	0	0	0
0.048	1	8	5	9	2	28	2196	0	0	0
0.049	1	5	5	10	1	28	2196	0	0	0
0.05	1	3	6	1	14	28	2196	0	0	0
0.051	1	9	6	2	13	28	2196	0	0	0
0.052	1	2	6	3	11	28	2196	0	0	0
0.053	1	6	6	4	4	28	185	0	0	0
0.053	1	7	6	4	10	28	2052	0	0	0
0.054	1	6	6	5	4	28	2196	0	0	0
0.055	1	1	6	6	3	28	2196	0	0	0
0.056	1	4	6	7	9	28	2196	0	0	0
0.057	1	10	6	8	12	28	2196	0	0	0
0.058	1	8	6	9	2	28	2196	0	0	0
0.059	1	5	6	10	1	28	2196	0	0	0
0.06	1	3	7	1	14	28	2196	0	0	0
0.061	1	9	7	2	13	28	2196	0	0	0
0.062	1	2	7	3	11	28	2196	0	0	0
0.063	1	7	7	4	10	28	2196	0	0	0
0.064	1	6	7	5	4	28	2196	0	0	0
0.065	1	1	7	6	3	28	2196	0	0	0
0.066	1	4	7	7	9	28	2196	0	0	0
0.067	1	10	7	8	12	28	2196	0	0	0
0.068	1	8	7	9	2	28	2196	0	0	0
0.069	1	5	7	10	1	28	2196	0	0	0
0.07	1	3	8	1	14	28	2196	0	0	0
0.071	1	9	8	2	13	28	2196	0	0	0
0.072	1	2	8	3	11	28	2196	0	0	0
0.073	1	7	8	4	10	28	2196	0	0	0
0.074	1	1	8	5	3	28	185	0	0	0
0.074	1	6	8	5	4	28	2052	0	0	0
0.075	1	4	8	6	9	28	2196	0	0	0
0.076	1	10	8	7	12	28	2196	0	0	0
0.077	1	1	8	8	3	28	2196	0	0	0
0.078	1	8	8	9	2	28	2196	0	0	0
0.079	1	5	8	10	1	28	2196	0	0	0
0.08	1	3	9	1	14	28	2196	0	0	0
0.081	1	9	9	2	13	28	2196	0	0	0
0.082	1	2	9	3	11	28	2196	0	0	0
0.083	1	7	9	4	10	28	2196	0	0	0
0.084	1	6	9	5	4	28	2196	0	0	0
0.085	1	4	9	6	9	28	2196	0	0	0
0.086	1	10	9	7	12	28	2196	0	0	0
0.087	1	1	9	8	3	28	2196	0	0	0
0.088	1	8	9	9	2	28	2196	0	0	0
0.089	1	5	9	10	1	28	2196	0	0	0
0.09	1	3	10	1	14	28	2196	0	0	0
0.091	1	9	10	2	13	28	2196	0	0	0
0.092	1	2	10	3	11	28	2196	0	0	0
0.093	1	7	10	4	10	28	2196	0	0	0
0.094	1	6	10	5	4	28	2196	0	0	0
0.095	1	4	10	6	9	28	2196	0	0	0
0.096	1	10	10	7	12	28	2196	0	0	0
0.097	1	1	10	8	3	28	2196	0	0	0
0.098	1	8	10	9	2	28	2196	0	0	0
0.099	1	5	10	10	1	28	2196	0	0	0
0.1	1	3	11	1	14	28	2196	0	0	0
0.101	1	9	11	2	13	28	2196	0	0	0
0.102	1	2	11	3	11	28	2196	0	0	0
0.103	1	6	11	4	4	28	185	0	0	0
0.103	1	7	11	4	10	28	2052	0	0	0
0.104	1	6	11	5	4	28	2052	0	0	0
0.104	1	4	11	5	9	28	185	0	0	0
0.105	1	10	11	6	12	28	2196	0	0	0
0.106	1	4	11	7	9	28	2196	0	0	0
0.107	1	1	11	8	3	28	2196	0	0	0
0.108	1	8	11	9	2	28	2196	0	0	0
0.109	1	5	11	10	1	28	2196	0	0	0
0.11	1	3	12	1	14	28	2196	0	0	0
0.111	1	9	12	2	13	28	2196	0	0	0
0.112	1	2	12	3	11	28	2196	0	0	0
0.113	1	7	12	4	10	28	2196	0	0	0
0.114	1	6	12	5	4	28	2196	0	0	0
0.115	1	10	12	6	12	28	2196	0	0	0
0.116	1	4	12	7	9	28	2196	0	0	0
0.117	1	1	12	8	3	28	2196	0	0	0
0.118	1	8	12	9	2	28	2196	0	0	0
0.119	1	5	12	10	1	28	2196	0	0	0
0.12	1	3	13	1	14	28	2196	0	0	0
0.121	1	9	13	2	13	28	2196	0	0	0
0.122	1	2	13	3	11	28	2196	0	0	0
0.123	1	6	13	4	4	28	185	0	0	0
0.123	1	7	13	4	10	28	2052	0	0	0
0.124	1	6	13	5	4	28	2052	0	0	0
0.124	1	10	13	5	12	28	185	0	0	0
0.125	1	4	13	6	9	28	2196	0	0	0
0.126	1	1	13	7	3	28	2196	0	0	0
0.127	1	10	13	8	12	28	2196	0	0	0
0.128	1	8	13	9	2	28	2196	0	0	0
0.129	1	5	13	10	1	28	2196	0	0	0
0.13	1	3	14	1	14	28	2196	0	0	0
0.131	1	9	14	2	13	28	2196	0	0	0
0.132	1	2	14	3	11	28	2196	0	0	0
0.133	1	7	14	4	10	28	2196	0	0	0
0.134	1	6	14	5	4	28	2052	0	0	0
0.134	1	4	14	5	9	28	185	0	0	0
0.135	1	1	14	6	3	28	2196	0	0	0
0.136	1	10	14	7	12	28	2196	0	0	0
0.137	1	4	14	8	9	28	2196	0	0	0
0.138	1	8	14	9	2	28	2196	0	0	0
0.139	1	5	14	10	1	28	2196	0	0	0
0.14	1	3	15	1	14	28	2196	0	0	0
0.141	1	9	15	2	13	28	2196	0	0	0
0.142	1	2	15	3	11	28	2196	0	0	0
0.143	1	7	15	4	10	28	2196	0	0	0
0.144	1	1	15	5	3	28	185	0	0	0
0.144	1	6	15	5	4	28	2052	0	0	0
0.145	1	10	15	6	12	28	2196	0	0	0
