% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	1.96093e-12	4133.99	0
0.000214285	1	2	0	3.74822e-13	790.194	0
0.000214285	1	3	0	9.2508e-13	1950.24	0
0.000214285	1	4	0	6.30033e-13	1328.23	0
0.000214285	1	5	0	2.78904e-10	587981	0
0.00121428	1	1	0	2.13082e-12	4595.75	0
0.00121428	1	2	0	5.94835e-13	1217.55	0
0.00121428	1	3	0	4.70606e-13	1019.98	0
0.00121428	1	4	0	7.68733e-13	1671.32	0
0.00121428	1	5	0	3.28331e-10	720302	0
0.00221428	1	1	0	2.13033e-12	4596.04	0
0.00221428	1	2	0	5.8205e-13	1188.52	0
0.00221428	1	3	0	4.67695e-13	1011.49	0
0.00221428	1	4	0	7.55134e-13	1642.44	0
0.00221428	1	5	0	3.30963e-10	726315	0
0.00321428	1	1	0	2.12851e-12	4593.51	0
0.00321428	1	2	0	5.68979e-13	1158.95	0
0.00321428	1	3	0	4.65317e-13	1004.03	0
0.00321428	1	4	0	7.41003e-13	1612.38	0
0.00321428	1	5	0	3.33399e-10	731874	0
0.00421428	1	1	0	2.12557e-12	4588.6	0
0.00421428	1	2	0	5.55744e-13	1129.09	0
0.00421428	1	3	0	4.63122e-13	996.869	0
0.00421428	1	4	0	7.26234e-13	1580.93	0
0.00421428	1	5	0	3.3546e-10	736584	0
0.00521428	1	1	0	2.12083e-12	4579.85	0
0.00521428	1	2	0	5.42438e-13	1099.15	0
0.00521428	1	3	0	4.6161e-13	991.075	0
0.00521428	1	4	0	7.1079e-13	1548	0
0.00521428	1	5	0	3.37198e-10	740561	0
0.00621428	1	1	0	2.11558e-12	4569.99	0
0.00621428	1	2	0	5.28882e-13	1068.76	0
0.00621428	1	3	0	4.60165e-13	985.347	0
0.00621428	1	4	0	6.95069e-13	1514.45	0
0.00621428	1	5	0	3.38663e-10	743912	0
0.00721428	1	1	0	2.10789e-12	4554.96	0
0.00721428	1	2	0	5.15452e-13	1038.7	0
0.00721428	1	3	0	4.5954e-13	981.288	0
0.00721428	1	4	0	6.786e-13	1479.25	0
0.00721428	1	5	0	3.39681e-10	746257	0
0.00821428	1	1	0	2.1002e-12	4539.9	0
0.00821428	1	2	0	5.01701e-13	1008.06	0
0.00821428	1	3	0	4.58894e-13	977.128	0
0.00821428	1	4	0	6.62201e-13	1444.17	0
0.00821428	1	5	0	3.40533e-10	748213	0
0.00921428	1	1	0	2.08957e-12	4518.57	0
0.00921428	1	2	0	4.88258e-13	978.138	0
0.00921428	1	3	0	4.59066e-13	974.648	0
0.00921428	1	4	0	6.44952e-13	1407.22	0
0.00921428	1	5	0	3.40816e-10	748894	0
0.0102143	1	1	0	2.07922e-12	4497.84	0
0.0102143	1	2	0	4.74438e-13	947.54	0
0.0102143	1	3	0	4.59371e-13	972.411	0
0.0102143	1	4	0	6.28071e-13	1371.04	0
0.0102143	1	5	0	3.41045e-10	749434	0
0.0112143	1	1	0	2.06599e-12	4470.95	0
0.0112143	1	2	0	4.61028e-13	917.867	0
0.0112143	1	3	0	4.60391e-13	971.65	0
0.0112143	1	4	0	6.10312e-13	1332.91	0
0.0112143	1	5	0	3.40589e-10	748441	0
0.0122143	1	1	0	2.0528e-12	4444.14	0
0.0122143	1	2	0	4.47325e-13	887.71	0
0.0122143	1	3	0	4.61738e-13	971.558	0
0.0122143	1	4	0	5.93018e-13	1295.76	0
0.0122143	1	5	0	3.40139e-10	747437	0
0.0132143	1	1	0	2.03735e-12	4412.48	0
0.0132143	1	2	0	4.34016e-13	858.453	0
0.0132143	1	3	0	4.6366e-13	972.664	0
0.0132143	1	4	0	5.75226e-13	1257.48	0
0.0132143	1	5	0	3.39051e-10	745008	0
0.0142143	1	1	0	2.02147e-12	4379.88	0
0.0142143	1	2	0	4.20635e-13	829.173	0
0.0142143	1	3	0	4.66001e-13	974.649	0
0.0142143	1	4	0	5.57813e-13	1219.98	0
0.0142143	1	5	0	3.37907e-10	742435	0
0.0152143	1	1	0	2.00393e-12	4343.72	0
0.0152143	1	2	0	4.07563e-13	800.631	0
0.0152143	1	3	0	4.68795e-13	977.597	0
0.0152143	1	4	0	5.40248e-13	1182.11	0
0.0152143	1	5	0	3.36207e-10	738615	0
0.0162143	1	1	0	1.98552e-12	4305.7	0
0.0162143	1	2	0	3.94557e-13	772.353	0
0.0162143	1	3	0	4.72144e-13	981.719	0
0.0162143	1	4	0	5.23011e-13	1144.9	0
0.0162143	1	5	0	3.34343e-10	734411	0
0.0172143	1	1	0	1.96605e-12	4265.38	0
0.0172143	1	2	0	3.81797e-13	744.698	0
0.0172143	1	3	0	4.75825e-13	986.574	0
0.0172143	1	4	0	5.05937e-13	1107.99	0
0.0172143	1	5	0	3.32044e-10	729233	0
0.0182143	1	1	0	1.94534e-12	4222.37	0
0.0182143	1	2	0	3.69258e-13	717.622	0
0.0182143	1	3	0	4.80192e-13	992.889	0
0.0182143	1	4	0	4.89172e-13	1071.71	0
0.0182143	1	5	0	3.29478e-10	723444	0
0.0192143	1	1	0	1.92415e-12	4178.31	0
0.0192143	1	2	0	3.56912e-13	691.077	0
0.0192143	1	3	0	4.84768e-13	999.706	0
0.0192143	1	4	0	4.72846e-13	1036.31	0
0.0192143	1	5	0	3.26604e-10	716959	0
0.0202143	1	1	0	1.90138e-12	4130.83	0
0.0202143	1	2	0	3.44925e-13	665.39	0
0.0202143	1	3	0	4.90162e-13	1008.26	0
0.0202143	1	4	0	4.5684e-13	1001.55	0
0.0202143	1	5	0	3.23365e-10	709652	0
0.0212143	1	1	0	1.87869e-12	4083.48	0
0.0212143	1	2	0	3.33086e-13	640.159	0
0.0212143	1	3	1	4.95639e-13	1017.08	0
0.0212143	1	4	2	4.41512e-13	968.213	0
0.0212143	1	5	3	3.19944e-10	701927	0
0.0222143	1	1	0	1.85414e-12	4032.13	0
0.0222143	1	2	0	3.21732e-13	616.036	0
0.0222143	1	3	1	5.01978e-13	1027.75	0
0.0222143	1	4	2	4.26541e-13	935.578	0
0.0222143	1	5	3	3.16069e-10	693186	0
0.0232143	1	1	0	1.83018e-12	3981.97	0
0.0232143	1	2	0	3.1049e-13	592.309	0
0.0232143	1	3	1	5.0844e-13	1038.78	0
0.0232143	1	4	2	4.12449e-13	904.798	0
0.0232143	1	5	3	3.12136e-10	684301	0
0.0242143	1	1	0	1.80427e-12	3927.59	0
0.0242143	1	2	0	2.99836e-13	569.892	0
0.0242143	1	3	1	5.1568e-13	1051.5	0
0.0242143	1	4	2	3.9877e-13	874.84	0
0.0242143	1	5	3	3.0767e-10	674230	0
0.0252143	1	1	0	1.77901e-12	3874.56	0
0.0252143	1	2	0	2.89279e-13	547.857	0
0.0252143	1	3	1	5.23167e-13	1064.85	0
0.0252143	1	4	2	3.86094e-13	847.001	0
0.0252143	1	5	3	3.03258e-10	664261	0
0.0262143	1	1	4	1.75236e-12	3818.49	0
0.0262143	1	2	5	2.79326e-13	527.166	0
0.0262143	1	3	1	5.31299e-13	1079.63	0
0.0262143	1	4	2	3.74007e-13	820.37	0
0.0262143	1	5	3	2.98262e-10	653000	0
0.0272143	1	1	4	1.72608e-12	3763.15	0
0.0272143	1	2	5	2.69595e-13	507.098	0
0.0272143	1	3	1	5.398e-13	1095.3	0
0.0272143	1	4	2	3.62948e-13	795.907	0
0.0272143	1	5	3	2.9333e-10	641862	0
0.0282143	1	1	4	1.69899e-12	3706.02	0
0.0282143	1	2	5	2.60414e-13	488.279	0
0.0282143	1	3	1	5.48809e-13	1112.14	0
0.0282143	1	4	2	3.52657e-13	773.04	0
0.0282143	1	5	3	2.87953e-10	629738	0
0.0292143	1	1	4	1.67205e-12	3649.13	0
0.0292143	1	2	5	2.51565e-13	470.296	0
0.0292143	1	3	1	5.5831e-13	1130.12	0
0.0292143	1	4	2	3.43397e-13	752.344	0
0.0292143	1	5	3	2.82561e-10	617571	0
0.0302143	1	1	4	1.64485e-12	3591.62	0
0.0302143	1	2	5	2.4322e-13	453.474	0
0.0302143	1	3	1	5.68217e-13	1149.09	0
0.0302143	1	4	2	3.35064e-13	733.59	0
0.0302143	1	5	3	2.76858e-10	604712	0
0.0312143	1	1	4	1.61762e-12	3533.96	0
0.0312143	1	2	5	2.35303e-13	437.675	0
0.0312143	1	3	1	5.78766e-13	1169.5	0
0.0312143	1	4	2	3.27771e-13	717.028	0
0.0312143	1	5	3	2.71085e-10	591692	0
0.0322143	1	1	4	1.59064e-12	3476.77	0
0.0322143	1	2	5	2.27853e-13	422.968	0
0.0322143	1	3	1	5.89517e-13	1190.5	0
0.0322143	1	4	2	3.21531e-13	702.681	0
0.0322143	1	5	3	2.65147e-10	578302	0
0.0332143	1	1	4	1.56351e-12	3419.17	0
0.0332143	1	2	5	2.20922e-13	409.453	0
0.0332143	1	3	1	6.01004e-13	1213.14	0
0.0332143	1	4	2	3.16345e-13	690.553	0
0.0332143	1	5	3	2.59067e-10	564596	0
0.0342143	1	1	4	1.53708e-12	3363.02	0
0.0342143	1	2	5	2.1441e-13	396.941	0
0.0342143	1	3	1	6.12519e-13	1236.03	0
0.0342143	1	4	2	3.12304e-13	680.845	0
0.0342143	1	5	3	2.52922e-10	550741	0
0.0352143	1	1	4	1.51045e-12	3306.3	0
0.0352143	1	2	5	2.0849e-13	385.755	0
0.0352143	1	3	1	6.24865e-13	1260.74	0
0.0352143	1	4	2	3.09325e-13	673.375	0
0.0352143	1	5	3	2.46584e-10	536465	0
0.0362143	1	1	4	1.48494e-12	3251.92	0
0.0362143	1	2	5	2.02948e-13	375.493	0
0.0362143	1	3	1	6.3712e-13	1285.48	0
0.0362143	1	4	2	3.07561e-13	668.478	0
0.0362143	1	5	3	2.40293e-10	522287	0
0.0372143	1	1	4	1.45919e-12	3196.94	0
0.0372143	1	2	5	1.98067e-13	366.684	0
0.0372143	1	3	1	6.50152e-13	1311.94	0
0.0372143	1	4	2	3.06856e-13	665.814	0
0.0372143	1	5	3	2.3377e-10	507605	0
0.0382143	1	1	4	1.43479e-12	3144.76	0
0.0382143	1	2	5	1.93523e-13	358.717	0
0.0382143	1	3	1	6.63198e-13	1338.63	0
0.0382143	1	4	2	3.07409e-13	665.821	0
0.0382143	1	5	3	2.27396e-10	493246	0
0.0392143	1	1	4	1.41048e-12	3092.67	0
0.0392143	1	2	5	1.89666e-13	352.245	0
0.0392143	1	3	1	6.76843e-13	1366.7	0
0.0392143	1	4	2	3.09012e-13	668.042	0
0.0392143	1	5	3	2.20758e-10	478322	0
0.0402143	1	1	4	1.3875e-12	3043.32	0
0.0402143	1	2	5	1.86179e-13	346.669	0
0.0402143	1	3	1	6.90613e-13	1395.21	0
0.0402143	1	4	2	3.11867e-13	672.925	0
0.0402143	1	5	3	2.14319e-10	463827	0
0.0412143	1	1	4	1.36506e-12	2995.03	0
0.0412143	1	2	5	1.83345e-13	342.52	0
0.0412143	1	3	1	7.04791e-13	1424.71	0
0.0412143	1	4	2	3.15795e-13	680.08	0
0.0412143	1	5	3	2.07687e-10	448928	0
0.0422143	1	1	4	1.34387e-12	2949.33	0
0.0422143	1	2	5	1.80942e-13	339.376	0
0.0422143	1	3	1	7.19211e-13	1454.89	0
0.0422143	1	4	2	3.20928e-13	689.797	0
0.0422143	1	5	3	2.0123e-10	434410	0
0.0432143	1	1	4	1.3236e-12	2905.49	0
0.0432143	1	2	5	1.79141e-13	337.553	0
0.0432143	1	3	1	7.33832e-13	1485.65	0
0.0432143	1	4	2	3.2714e-13	701.804	0
0.0432143	1	5	3	1.94692e-10	419730	0
0.0442143	1	1	4	1.30456e-12	2864.2	0
0.0442143	1	2	5	1.77828e-13	336.832	0
0.0442143	1	3	1	7.48821e-13	1517.33	0
0.0442143	1	4	2	3.34482e-13	716.216	0
0.0442143	1	5	3	1.88289e-10	405353	0
0.0452143	1	1	4	1.28679e-12	2825.51	0
0.0452143	1	2	5	1.77063e-13	337.32	0
0.0452143	1	3	1	7.63788e-13	1549.14	0
0.0452143	1	4	2	3.42893e-13	732.901	0
0.0452143	1	5	3	1.81905e-10	391033	0
0.0462143	1	1	4	1.27025e-12	2789.37	0
0.0462143	1	2	5	1.76839e-13	339.003	0
0.0462143	1	3	1	7.7926e-13	1582.13	0
0.0462143	1	4	2	3.5235e-13	751.814	0
0.0462143	1	5	3	1.75626e-10	376953	0
0.0472143	1	1	4	1.25527e-12	2756.46	0
0.0472143	1	2	5	1.77105e-13	341.773	0
0.0472143	1	3	1	7.94466e-13	1614.76	0
0.0472143	1	4	2	3.62874e-13	773.001	0
0.0472143	1	5	3	1.69456e-10	363128	0
0.0482143	1	1	4	1.24156e-12	2726.17	0
0.0482143	1	2	5	1.77964e-13	345.828	0
0.0482143	1	3	1	8.10326e-13	1648.86	0
0.0482143	1	4	2	3.74319e-13	796.153	0
0.0482143	1	5	3	1.63366e-10	349497	0
0.0492143	1	1	4	1.22964e-12	2699.63	0
0.0492143	1	2	5	1.79251e-13	350.836	0
0.0492143	1	3	1	8.25729e-13	1682.2	0
0.0492143	1	4	2	3.86823e-13	821.564	0
0.0492143	1	5	3	1.57467e-10	336294	0
0.0502143	1	1	4	1.21904e-12	2675.82	0
0.0502143	1	2	5	1.8118e-13	357.218	0
0.0502143	1	3	1	8.41787e-13	1717.02	0
0.0502143	1	4	2	4.00086e-13	848.601	0
0.0502143	1	5	3	1.51646e-10	323284	0
0.0512143	1	1	4	1.21041e-12	2656.14	0
0.0512143	1	2	5	1.83477e-13	364.42	0
0.0512143	1	3	1	8.57353e-13	1750.98	0
0.0512143	1	4	2	4.14408e-13	877.896	0
0.0512143	1	5	3	1.4609e-10	310865	0
0.0522143	1	1	4	1.2032e-12	2639.41	0
0.0522143	1	2	5	1.86453e-13	373.062	0
0.0522143	1	3	1	8.73367e-13	1785.99	0
0.0522143	1	4	2	4.29287e-13	908.393	0
0.0522143	1	5	3	1.4058e-10	298579	0
0.0532143	1	1	4	1.19803e-12	2626.95	0
0.0532143	1	2	5	1.89745e-13	382.402	0
0.0532143	1	3	1	8.89016e-13	1820.4	0
0.0532143	1	4	2	4.45171e-13	941.036	0
0.0532143	1	5	3	1.35382e-10	286982	0
0.0542143	1	1	4	1.1945e-12	2617.93	0
0.0542143	1	2	5	1.93692e-13	393.125	0
0.0542143	1	3	1	9.04852e-13	1855.31	0
0.0542143	1	4	2	4.61503e-13	974.648	0
0.0542143	1	5	3	1.30241e-10	275547	0
0.0552143	1	1	4	1.19299e-12	2613.15	0
0.0552143	1	2	5	1.97994e-13	404.612	0
