% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	2114.27	0
0.081	1	1	1	1701.4	0
0.121	1	1	1	5295.96	0
0.161	1	1	1	14155.7	0
0.201	1	1	1	9336.32	0
0.241	1	1	1	2258.1	0
0.281	1	1	1	4233.1	0
0.321	1	1	1	4936.64	0
0.361	1	1	1	5243.97	0
0.401	1	1	1	7439.2	0
0.441	1	1	1	4387.09	0
0.481	1	1	1	9390.57	0
0.521	1	1	1	6229.57	0
0.561	1	1	1	3214.32	0
0.601	1	1	1	3254.05	0
0.641	1	1	1	1860.98	0
0.681	1	1	1	14655.7	0
0.721	1	1	1	23453.3	0
0.761	1	1	1	10613.9	0
0.801	1	1	1	7641.59	0
0.841	1	1	1	5642.55	0
0.881	1	1	1	12031	0
0.921	1	1	1	18574.7	0
0.961	1	1	1	3326.45	0
1.001	1	1	1	2283.99	0
1.041	1	1	1	1448.72	0
1.081	1	1	1	2484.2	0
1.121	1	1	1	4423.02	0
1.161	1	1	1	4854.4	0
1.201	1	1	1	2245.96	0
1.241	1	1	1	1920.5	0
1.281	1	1	1	5673.09	0
1.321	1	1	1	4833.63	0
1.361	1	1	1	2266.51	0
1.401	1	1	1	1418.93	0
1.441	1	1	1	1755.42	0
1.481	1	1	1	2518.37	0
1.521	1	1	1	5190.69	0
1.561	1	1	1	3327.01	0
1.601	1	1	1	5907.82	0
1.641	1	1	1	3066.99	0
1.681	1	1	1	5024.2	0
1.721	1	1	1	27976.7	0
1.761	1	1	1	14896.7	0
1.801	1	1	1	3360.5	0
1.841	1	1	1	4861.28	0
1.881	1	1	1	1758.84	0
1.921	1	1	1	1537.29	0
1.961	1	1	1	2489.9	0
2.001	1	1	1	3848.86	0
2.041	1	1	1	6540.46	0
2.081	1	1	1	3383.91	0
2.121	1	1	1	11898.5	0
2.161	1	1	1	3290.58	0
2.201	1	1	1	3844.9	0
2.241	1	1	1	4123.44	0
2.281	1	1	1	2723.17	0
2.321	1	1	1	13779.4	0
2.361	1	1	1	45998.8	0
2.401	1	1	1	1445.17	0
2.441	1	1	1	5325.92	0
2.481	1	1	1	8389.7	0
2.521	1	1	1	10855	0
2.561	1	1	1	7178.33	0
2.601	1	1	1	2656.12	0
2.641	1	1	1	1763.29	0
2.681	1	1	1	3341.64	0
2.721	1	1	1	10793.9	0
2.761	1	1	1	3833.48	0
2.801	1	1	1	1356.26	0
2.841	1	1	1	7119.52	0
2.881	1	1	1	5586.96	0
2.921	1	1	1	5276.18	0
2.961	1	1	1	7199.17	0
3.001	1	1	1	4833.14	0
3.041	1	1	1	18548.1	0
3.081	1	1	1	42301.5	0
3.121	1	1	1	18335.7	0
3.161	1	1	1	4079.72	0
3.201	1	1	1	7163.49	0
3.241	1	1	1	2487.58	0
3.281	1	1	1	4528.3	0
3.321	1	1	1	7833.85	0
3.361	1	1	1	6625.96	0
3.401	1	1	1	2295.08	0
3.441	1	1	1	1413.5	0
3.481	1	1	1	4172.98	0
3.521	1	1	1	17916.9	0
3.561	1	1	1	6430.17	0
3.601	1	1	1	3205.07	0
